DEPTH,REGION,level,lon,lat
"100",Sumatra/Java,100.000,106.91783,-6.65979
"100",Sumatra/Java,100.000,106.90200,-6.65000
"100",Sumatra/Java,100.000,106.90000,-6.64880
"100",Sumatra/Java,100.000,106.85000,-6.61810
"100",Sumatra/Java,100.000,106.82100,-6.60000
"100",Sumatra/Java,100.000,106.80000,-6.58700
"100",Sumatra/Java,100.000,106.75000,-6.55580
"100",Sumatra/Java,100.000,106.74080,-6.55000
"100",Sumatra/Java,100.000,106.70000,-6.52470
"100",Sumatra/Java,100.000,106.66080,-6.50000
"100",Sumatra/Java,100.000,106.65000,-6.49330
"100",Sumatra/Java,100.000,106.60000,-6.46210
"100",Sumatra/Java,100.000,106.58080,-6.45000
"100",Sumatra/Java,100.000,106.55000,-6.43090
"100",Sumatra/Java,100.000,106.50110,-6.40000
"100",Sumatra/Java,100.000,106.50000,-6.39930
"100",Sumatra/Java,100.000,106.45000,-6.36820
"100",Sumatra/Java,100.000,106.42130,-6.35000
"100",Sumatra/Java,100.000,106.40000,-6.33680
"100",Sumatra/Java,100.000,106.35000,-6.30510
"100",Sumatra/Java,100.000,106.34200,-6.30000
"100",Sumatra/Java,100.000,106.30000,-6.27380
"100",Sumatra/Java,100.000,106.26280,-6.25000
"100",Sumatra/Java,100.000,106.25000,-6.24200
"100",Sumatra/Java,100.000,106.20000,-6.21030
"100",Sumatra/Java,100.000,106.18390,-6.20000
"100",Sumatra/Java,100.000,106.15000,-6.17860
"100",Sumatra/Java,100.000,106.10550,-6.15000
"100",Sumatra/Java,100.000,106.10000,-6.14650
"100",Sumatra/Java,100.000,106.05000,-6.11460
"100",Sumatra/Java,100.000,106.02750,-6.10000
"100",Sumatra/Java,100.000,106.00000,-6.08250
"100",Sumatra/Java,100.000,105.95030,-6.05000
"100",Sumatra/Java,100.000,105.95000,-6.04980
"100",Sumatra/Java,100.000,105.90000,-6.01740
"100",Sumatra/Java,100.000,105.87370,-6.00000
"100",Sumatra/Java,100.000,105.85000,-5.98450
"100",Sumatra/Java,100.000,105.80000,-5.95100
"100",Sumatra/Java,100.000,105.79850,-5.95000
"100",Sumatra/Java,100.000,105.75000,-5.91770
"100",Sumatra/Java,100.000,105.72420,-5.90000
"100",Sumatra/Java,100.000,105.70000,-5.88370
"100",Sumatra/Java,100.000,105.65140,-5.85000
"100",Sumatra/Java,100.000,105.65000,-5.84910
"100",Sumatra/Java,100.000,105.60000,-5.81450
"100",Sumatra/Java,100.000,105.57940,-5.80000
"100",Sumatra/Java,100.000,105.55000,-5.77950
"100",Sumatra/Java,100.000,105.50860,-5.75000
"100",Sumatra/Java,100.000,105.50000,-5.74400
"100",Sumatra/Java,100.000,105.45000,-5.70850
"100",Sumatra/Java,100.000,105.43830,-5.70000
"100",Sumatra/Java,100.000,105.40000,-5.67290
"100",Sumatra/Java,100.000,105.36830,-5.65000
"100",Sumatra/Java,100.000,105.35000,-5.63690
"100",Sumatra/Java,100.000,105.30000,-5.60070
"100",Sumatra/Java,100.000,105.29900,-5.60000
"100",Sumatra/Java,100.000,105.25000,-5.56490
"100",Sumatra/Java,100.000,105.22950,-5.55000
"100",Sumatra/Java,100.000,105.20000,-5.52880
"100",Sumatra/Java,100.000,105.16070,-5.50000
"100",Sumatra/Java,100.000,105.15000,-5.49220
"100",Sumatra/Java,100.000,105.10000,-5.45550
"100",Sumatra/Java,100.000,105.09260,-5.45000
"100",Sumatra/Java,100.000,105.05000,-5.41850
"100",Sumatra/Java,100.000,105.02540,-5.40000
"100",Sumatra/Java,100.000,105.00000,-5.38100
"100",Sumatra/Java,100.000,104.95950,-5.35000
"100",Sumatra/Java,100.000,104.95000,-5.34270
"100",Sumatra/Java,100.000,104.90000,-5.30390
"100",Sumatra/Java,100.000,104.89500,-5.30000
"100",Sumatra/Java,100.000,104.85000,-5.26470
"100",Sumatra/Java,100.000,104.83160,-5.25000
"100",Sumatra/Java,100.000,104.80000,-5.22470
"100",Sumatra/Java,100.000,104.76950,-5.20000
"100",Sumatra/Java,100.000,104.75000,-5.18410
"100",Sumatra/Java,100.000,104.70850,-5.15000
"100",Sumatra/Java,100.000,104.70000,-5.14300
"100",Sumatra/Java,100.000,104.65000,-5.10150
"100",Sumatra/Java,100.000,104.64820,-5.10000
"100",Sumatra/Java,100.000,104.60000,-5.06020
"100",Sumatra/Java,100.000,104.58770,-5.05000
"100",Sumatra/Java,100.000,104.55000,-5.01890
"100",Sumatra/Java,100.000,104.52710,-5.00000
"100",Sumatra/Java,100.000,104.50000,-4.97770
"100",Sumatra/Java,100.000,104.46620,-4.95000
"100",Sumatra/Java,100.000,104.45000,-4.93680
"100",Sumatra/Java,100.000,104.44824,-4.93538
"80",Sumatra/Java,80.000,106.79495,-6.86437
"80",Sumatra/Java,80.000,106.77100,-6.85000
"80",Sumatra/Java,80.000,106.75000,-6.83750
"80",Sumatra/Java,80.000,106.70000,-6.80710
"80",Sumatra/Java,80.000,106.68850,-6.80000
"80",Sumatra/Java,80.000,106.65000,-6.77650
"80",Sumatra/Java,80.000,106.60770,-6.75000
"80",Sumatra/Java,80.000,106.60000,-6.74520
"80",Sumatra/Java,80.000,106.55000,-6.71390
"80",Sumatra/Java,80.000,106.52840,-6.70000
"80",Sumatra/Java,80.000,106.50000,-6.68210
"80",Sumatra/Java,80.000,106.45070,-6.65000
"80",Sumatra/Java,80.000,106.45000,-6.64960
"80",Sumatra/Java,80.000,106.40000,-6.61730
"80",Sumatra/Java,80.000,106.37400,-6.60000
"80",Sumatra/Java,80.000,106.35000,-6.58440
"80",Sumatra/Java,80.000,106.30000,-6.55100
"80",Sumatra/Java,80.000,106.29850,-6.55000
"80",Sumatra/Java,80.000,106.25000,-6.51790
"80",Sumatra/Java,80.000,106.22350,-6.50000
"80",Sumatra/Java,80.000,106.20000,-6.48450
"80",Sumatra/Java,80.000,106.15000,-6.45070
"80",Sumatra/Java,80.000,106.14890,-6.45000
"80",Sumatra/Java,80.000,106.10000,-6.41750
"80",Sumatra/Java,80.000,106.07410,-6.40000
"80",Sumatra/Java,80.000,106.05000,-6.38410
"80",Sumatra/Java,80.000,106.00000,-6.35050
"80",Sumatra/Java,80.000,105.99920,-6.35000
"80",Sumatra/Java,80.000,105.95000,-6.31760
"80",Sumatra/Java,80.000,105.92380,-6.30000
"80",Sumatra/Java,80.000,105.90000,-6.28440
"80",Sumatra/Java,80.000,105.85000,-6.25110
"80",Sumatra/Java,80.000,105.84840,-6.25000
"80",Sumatra/Java,80.000,105.80000,-6.21820
"80",Sumatra/Java,80.000,105.77290,-6.20000
"80",Sumatra/Java,80.000,105.75000,-6.18490
"80",Sumatra/Java,80.000,105.70000,-6.15130
"80",Sumatra/Java,80.000,105.69810,-6.15000
"80",Sumatra/Java,80.000,105.65000,-6.11780
"80",Sumatra/Java,80.000,105.62390,-6.10000
"80",Sumatra/Java,80.000,105.60000,-6.08380
"80",Sumatra/Java,80.000,105.55090,-6.05000
"80",Sumatra/Java,80.000,105.55000,-6.04940
"80",Sumatra/Java,80.000,105.50000,-6.01490
"80",Sumatra/Java,80.000,105.47860,-6.00000
"80",Sumatra/Java,80.000,105.45000,-5.98010
"80",Sumatra/Java,80.000,105.40740,-5.95000
"80",Sumatra/Java,80.000,105.40000,-5.94480
"80",Sumatra/Java,80.000,105.35000,-5.90960
"80",Sumatra/Java,80.000,105.33650,-5.90000
"80",Sumatra/Java,80.000,105.30000,-5.87430
"80",Sumatra/Java,80.000,105.26570,-5.85000
"80",Sumatra/Java,80.000,105.25000,-5.83890
"80",Sumatra/Java,80.000,105.20000,-5.80350
"80",Sumatra/Java,80.000,105.19500,-5.80000
"80",Sumatra/Java,80.000,105.15000,-5.76850
"80",Sumatra/Java,80.000,105.12370,-5.75000
"80",Sumatra/Java,80.000,105.10000,-5.73340
"80",Sumatra/Java,80.000,105.05240,-5.70000
"80",Sumatra/Java,80.000,105.05000,-5.69830
"80",Sumatra/Java,80.000,105.00000,-5.66360
"80",Sumatra/Java,80.000,104.98060,-5.65000
"80",Sumatra/Java,80.000,104.95000,-5.62870
"80",Sumatra/Java,80.000,104.90930,-5.60000
"80",Sumatra/Java,80.000,104.90000,-5.59340
"80",Sumatra/Java,80.000,104.85000,-5.55800
"80",Sumatra/Java,80.000,104.83880,-5.55000
"80",Sumatra/Java,80.000,104.80000,-5.52220
"80",Sumatra/Java,80.000,104.76960,-5.50000
"80",Sumatra/Java,80.000,104.75000,-5.48560
"80",Sumatra/Java,80.000,104.70240,-5.45000
"80",Sumatra/Java,80.000,104.70000,-5.44820
"80",Sumatra/Java,80.000,104.65000,-5.41020
"80",Sumatra/Java,80.000,104.63680,-5.40000
"80",Sumatra/Java,80.000,104.60000,-5.37140
"80",Sumatra/Java,80.000,104.57300,-5.35000
"80",Sumatra/Java,80.000,104.55000,-5.33180
"80",Sumatra/Java,80.000,104.51080,-5.30000
"80",Sumatra/Java,80.000,104.50000,-5.29130
"80",Sumatra/Java,80.000,104.45000,-5.25020
"80",Sumatra/Java,80.000,104.44970,-5.25000
"80",Sumatra/Java,80.000,104.40000,-5.20910
"80",Sumatra/Java,80.000,104.38900,-5.20000
"80",Sumatra/Java,80.000,104.35000,-5.16790
"80",Sumatra/Java,80.000,104.32860,-5.15000
"80",Sumatra/Java,80.000,104.30000,-5.12660
"80",Sumatra/Java,80.000,104.26790,-5.10000
"80",Sumatra/Java,80.000,104.26283,-5.09586
"60",Sumatra/Java,60.000,106.62935,-7.14008
"60",Sumatra/Java,60.000,106.60000,-7.12310
"60",Sumatra/Java,60.000,106.56180,-7.10000
"60",Sumatra/Java,60.000,106.55000,-7.09290
"60",Sumatra/Java,60.000,106.50000,-7.06200
"60",Sumatra/Java,60.000,106.48120,-7.05000
"60",Sumatra/Java,60.000,106.45000,-7.03020
"60",Sumatra/Java,60.000,106.40430,-7.00000
"60",Sumatra/Java,60.000,106.40000,-6.99720
"60",Sumatra/Java,60.000,106.35000,-6.96350
"60",Sumatra/Java,60.000,106.33070,-6.95000
"60",Sumatra/Java,60.000,106.30000,-6.92880
"60",Sumatra/Java,60.000,106.25980,-6.90000
"60",Sumatra/Java,60.000,106.25000,-6.89310
"60",Sumatra/Java,60.000,106.20000,-6.85670
"60",Sumatra/Java,60.000,106.19100,-6.85000
"60",Sumatra/Java,60.000,106.15000,-6.82000
"60",Sumatra/Java,60.000,106.12350,-6.80000
"60",Sumatra/Java,60.000,106.10000,-6.78260
"60",Sumatra/Java,60.000,106.05680,-6.75000
"60",Sumatra/Java,60.000,106.05000,-6.74500
"60",Sumatra/Java,60.000,106.00000,-6.70750
"60",Sumatra/Java,60.000,105.99000,-6.70000
"60",Sumatra/Java,60.000,105.95000,-6.67040
"60",Sumatra/Java,60.000,105.92270,-6.65000
"60",Sumatra/Java,60.000,105.90000,-6.63350
"60",Sumatra/Java,60.000,105.85450,-6.60000
"60",Sumatra/Java,60.000,105.85000,-6.59680
"60",Sumatra/Java,60.000,105.80000,-6.56100
"60",Sumatra/Java,60.000,105.78480,-6.55000
"60",Sumatra/Java,60.000,105.75000,-6.52560
"60",Sumatra/Java,60.000,105.71370,-6.50000
"60",Sumatra/Java,60.000,105.70000,-6.49050
"60",Sumatra/Java,60.000,105.65000,-6.45590
"60",Sumatra/Java,60.000,105.64150,-6.45000
"60",Sumatra/Java,60.000,105.60000,-6.42180
"60",Sumatra/Java,60.000,105.56810,-6.40000
"60",Sumatra/Java,60.000,105.55000,-6.38780
"60",Sumatra/Java,60.000,105.50000,-6.35390
"60",Sumatra/Java,60.000,105.49420,-6.35000
"60",Sumatra/Java,60.000,105.45000,-6.32050
"60",Sumatra/Java,60.000,105.41960,-6.30000
"60",Sumatra/Java,60.000,105.40000,-6.28690
"60",Sumatra/Java,60.000,105.35000,-6.25340
"60",Sumatra/Java,60.000,105.34490,-6.25000
"60",Sumatra/Java,60.000,105.30000,-6.22030
"60",Sumatra/Java,60.000,105.26930,-6.20000
"60",Sumatra/Java,60.000,105.25000,-6.18730
"60",Sumatra/Java,60.000,105.20000,-6.15450
"60",Sumatra/Java,60.000,105.19310,-6.15000
"60",Sumatra/Java,60.000,105.15000,-6.12220
"60",Sumatra/Java,60.000,105.11540,-6.10000
"60",Sumatra/Java,60.000,105.10000,-6.09010
"60",Sumatra/Java,60.000,105.05000,-6.05860
"60",Sumatra/Java,60.000,105.03600,-6.05000
"60",Sumatra/Java,60.000,105.00000,-6.02770
"60",Sumatra/Java,60.000,104.95470,-6.00000
"60",Sumatra/Java,60.000,104.95000,-5.99710
"60",Sumatra/Java,60.000,104.90000,-5.96720
"60",Sumatra/Java,60.000,104.87100,-5.95000
"60",Sumatra/Java,60.000,104.85000,-5.93750
"60",Sumatra/Java,60.000,104.80000,-5.90800
"60",Sumatra/Java,60.000,104.78620,-5.90000
"60",Sumatra/Java,60.000,104.75000,-5.87870
"60",Sumatra/Java,60.000,104.70170,-5.85000
"60",Sumatra/Java,60.000,104.70000,-5.84900
"60",Sumatra/Java,60.000,104.65000,-5.81900
"60",Sumatra/Java,60.000,104.61920,-5.80000
"60",Sumatra/Java,60.000,104.60000,-5.78800
"60",Sumatra/Java,60.000,104.55000,-5.75570
"60",Sumatra/Java,60.000,104.54140,-5.75000
"60",Sumatra/Java,60.000,104.50000,-5.72190
"60",Sumatra/Java,60.000,104.46920,-5.70000
"60",Sumatra/Java,60.000,104.45000,-5.68610
"60",Sumatra/Java,60.000,104.40260,-5.65000
"60",Sumatra/Java,60.000,104.40000,-5.64800
"60",Sumatra/Java,60.000,104.35000,-5.60770
"60",Sumatra/Java,60.000,104.34100,-5.60000
"60",Sumatra/Java,60.000,104.30000,-5.56490
"60",Sumatra/Java,60.000,104.28340,-5.55000
"60",Sumatra/Java,60.000,104.25000,-5.52010
"60",Sumatra/Java,60.000,104.22860,-5.50000
"60",Sumatra/Java,60.000,104.20000,-5.47350
"60",Sumatra/Java,60.000,104.17560,-5.45000
"60",Sumatra/Java,60.000,104.15000,-5.42570
"60",Sumatra/Java,60.000,104.12360,-5.40000
"60",Sumatra/Java,60.000,104.10000,-5.37750
"60",Sumatra/Java,60.000,104.07180,-5.35000
"60",Sumatra/Java,60.000,104.05000,-5.32940
"60",Sumatra/Java,60.000,104.02304,-5.30342
"40",Sumatra/Java,40.000,103.71795,-5.56750
"40",Sumatra/Java,40.000,103.74460,-5.60000
"40",Sumatra/Java,40.000,103.75000,-5.60690
"40",Sumatra/Java,40.000,103.78390,-5.65000
"40",Sumatra/Java,40.000,103.80000,-5.67100
"40",Sumatra/Java,40.000,103.82240,-5.70000
"40",Sumatra/Java,40.000,103.85000,-5.73630
"40",Sumatra/Java,40.000,103.86060,-5.75000
"40",Sumatra/Java,40.000,103.89930,-5.80000
"40",Sumatra/Java,40.000,103.90000,-5.80100
"40",Sumatra/Java,40.000,103.93920,-5.85000
"40",Sumatra/Java,40.000,103.95000,-5.86310
"40",Sumatra/Java,40.000,103.98170,-5.90000
"40",Sumatra/Java,40.000,104.00000,-5.92070
"40",Sumatra/Java,40.000,104.02770,-5.95000
"40",Sumatra/Java,40.000,104.05000,-5.97280
"40",Sumatra/Java,40.000,104.07870,-6.00000
"40",Sumatra/Java,40.000,104.10000,-6.01940
"40",Sumatra/Java,40.000,104.13660,-6.05000
"40",Sumatra/Java,40.000,104.15000,-6.06080
"40",Sumatra/Java,40.000,104.20000,-6.09750
"40",Sumatra/Java,40.000,104.20360,-6.10000
"40",Sumatra/Java,40.000,104.25000,-6.13050
"40",Sumatra/Java,40.000,104.28280,-6.15000
"40",Sumatra/Java,40.000,104.30000,-6.16000
"40",Sumatra/Java,40.000,104.35000,-6.18700
"40",Sumatra/Java,40.000,104.37610,-6.20000
"40",Sumatra/Java,40.000,104.40000,-6.21180
"40",Sumatra/Java,40.000,104.45000,-6.23520
"40",Sumatra/Java,40.000,104.48330,-6.25000
"40",Sumatra/Java,40.000,104.50000,-6.25740
"40",Sumatra/Java,40.000,104.55000,-6.27920
"40",Sumatra/Java,40.000,104.59880,-6.30000
"40",Sumatra/Java,40.000,104.60000,-6.30050
"40",Sumatra/Java,40.000,104.65000,-6.32240
"40",Sumatra/Java,40.000,104.70000,-6.34430
"40",Sumatra/Java,40.000,104.71270,-6.35000
"40",Sumatra/Java,40.000,104.75000,-6.36710
"40",Sumatra/Java,40.000,104.80000,-6.39050
"40",Sumatra/Java,40.000,104.81960,-6.40000
"40",Sumatra/Java,40.000,104.85000,-6.41500
