,lat,lon,x_ew,y_ns,z_depth,slip,rake,trup,trise,sf_moment
0,-4.2191,100.1825,6.9081,-86.7675,6.9432,0.0982,123.8044,49.4,9.5,4.6e+17
1,-4.1085,100.1049,-1.6971,-74.4696,6.9432,0.2037,90.8163,42.8,5.7,9.54e+17
2,-3.998,100.0274,-10.2934,-62.1836,6.9432,0.2985,128.8408,36.0,9.5,1.4e+18
3,-3.8874,99.9498,-18.9031,-49.8873,6.9432,0.3656,131.2974,29.6,9.5,1.71e+18
4,-3.7768,99.8722,-27.5148,-37.5916,6.9432,0.5975,127.6361,26.6,5.7,2.8e+18
5,-3.6662,99.7946,-36.1287,-25.2966,6.9432,0.8638,108.8625,27.0,7.6,4.04e+18
6,-3.5557,99.7171,-44.7335,-13.0134,6.9432,1.1045,90.422,23.0,9.5,5.17e+18
7,-3.4451,99.6395,-53.3513,-0.7197,6.9432,1.0297,75.589,24.8,1.9,4.82e+18
8,-3.3345,99.5619,-61.9654,11.5734,6.9432,0.9511,100.7087,32.4,9.5,4.45e+18
9,-3.2239,99.4844,-70.5758,23.8659,6.9432,1.1109,115.7043,42.4,7.6,5.2e+18
10,-3.1134,99.4068,-79.199,36.1467,6.9432,0.9919,131.6828,56.0,9.5,4.64e+18
11,-3.0028,99.3292,-87.824,48.4381,6.9432,0.3707,111.1901,70.4,9.5,1.74e+18
12,-2.8922,99.2517,-96.4394,60.729,6.9432,0.515,131.6088,85.6,7.6,2.41e+18
13,-2.7816,99.1741,-105.0676,73.0193,6.9432,0.3709,74.8737,98.6,1.9,1.74e+18
14,-2.671,99.0965,-113.6972,85.3092,6.9432,0.0985,87.898,108.6,1.9,4.61e+17
15,-4.1686,100.2548,14.9262,-81.1533,8.9574,0.0028,81.7743,45.2,1.9,1.7e+16
16,-4.058,100.1773,6.3327,-68.8547,8.9574,0.0787,129.3389,38.2,5.7,4.68e+17
17,-3.9474,100.0997,-2.2742,-56.5569,8.9574,0.1185,101.8386,32.0,3.8,7.06e+17
18,-3.8368,100.0221,-10.8833,-44.2599,8.9574,0.4171,74.2019,23.2,5.7,2.48e+18
19,-3.7263,99.9445,-19.4946,-31.9746,8.9574,0.6444,77.7647,18.8,1.9,3.84e+18
20,-3.6157,99.867,-28.0968,-19.679,8.9574,1.1031,115.617,19.4,7.6,6.57e+18
21,-3.5051,99.7894,-36.7121,-7.384,8.9574,1.4316,98.5614,16.4,9.5,8.53e+18
22,-3.3945,99.7118,-45.3238,4.9104,8.9574,1.5432,80.2919,19.8,1.9,9.19e+18
23,-3.2839,99.6343,-53.9319,17.2041,8.9574,1.1966,95.1275,28.6,9.5,7.13e+18
